WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
02;22;02;2;01;;Aleksandrowice;0882425;0882425;2021-01-01
02;04;02;2;03;;Aleksandrówka;0370719;0370702;2021-01-01
02;01;05;2;00;;Andryszów;1063570;0191780;2021-01-01
02;13;01;2;04;;Antonin;1004550;1004550;2021-01-01
02;06;09;2;01;;Antoniów;0192301;0192301;2021-01-01
02;05;06;2;04;;Augustów;0368349;0368349;2021-01-01
02;12;04;5;03;;Augustów;0191164;0191158;2021-01-01
02;09;03;2;01;;Babin;0364618;0364618;2021-01-01
02;03;03;2;01;;Bądzów;0364245;0364245;2021-01-01
02;19;04;5;01;;Bagieniec;0852482;0852482;2021-01-01
02;20;01;5;01;;Bagno;0878547;0878547;2021-01-01
02;23;05;2;01;;Bąki;0875520;0875520;2021-01-01
02;14;05;5;01;;Bąków;0203536;0203536;2021-01-01
02;23;02;2;01;;Bąków;0873640;0873640;2021-01-01
02;24;02;2;01;;Baldwinowice;0851749;0851749;2021-01-01
02;04;04;5;01;;Baranowice;0377041;0377041;2021-01-01
02;13;03;5;01;;Baranowice;0883927;0883927;2021-01-01
02;23;04;5;01;;Baranowice;0874868;0874868;2021-01-01
02;06;09;2;01;;Barcinek;0192324;0192324;2021-01-01
02;24;01;4;96;;Bardo;0983801;0983801;2021-01-01
02;20;06;5;03;;Barkówko;0883979;0883933;2021-01-01
02;20;06;5;01;;Barkowo;0883933;0883933;2021-01-01
02;16;04;5;01;;Barszów;1004856;1004856;2021-01-01
02;04;04;5;01;;Bartków;0377058;0377058;2021-01-01
02;14;03;2;01;;Bartków;0874093;0874093;2021-01-01
02;08;11;2;01;;Bartnica;0853984;0853984;2021-01-01
02;13;03;5;01;;Bartniki;0877602;0877602;2021-01-01
02;04;03;2;01;;Bartodzieje;0373528;0373528;2021-01-01
02;64;06;9;99;;Bartoszewice;0986969;0986952;2021-01-01
02;09;05;2;01;;Bartoszów;0364989;0364989;2021-01-01
02;17;01;2;01;;Bartoszowa;0872740;0872740;2021-01-01
02;19;06;5;01;;Bartoszówek;0855687;0855687;2021-01-01
02;10;03;5;01;;Bartoszówka;0190041;0190041;2021-01-01
02;05;04;2;01;;Barycz;0365919;0365919;2021-01-01
02;22;02;2;01;;Baszyn;0882431;0882431;2021-01-01
02;08;14;4;99;;Batorów;0984605;0984597;2021-01-01
02;10;03;4;99;;Baworowa;0936138;0936121;2021-01-01
02;23;07;5;01;;Będkowice;0880030;0880030;2021-01-01
02;20;03;5;01;;Będkowo;0881288;0881288;2021-01-01
02;14;08;5;03;;Będzin;0881874;0881868;2021-01-01
02;04;04;5;01;;Bełcz Górny;0377064;0377064;2021-01-01
02;04;04;5;01;;Bełcz Mały;0377070;0377070;2021-01-01
02;04;03;2;01;;Bełcz Wielki;0373534;0373534;2021-01-01
02;12;05;5;01;;Bełczyna;0193074;0193074;2021-01-01
02;62;01;1;99;;Bełdów;1064143;0954047;2021-01-01
02;08;12;5;00;;Bemowo;0855078;0855061;2021-01-01
02;13;01;2;01;;Biadaszka;0873142;0873142;2021-01-01
02;09;02;2;01;;Biała;0363292;0363292;2021-01-01
02;19;05;2;01;;Biała;0853398;0853398;2021-01-01
02;06;04;1;99;;Biała Dolina;0936374;0936368;2021-01-01
02;08;06;5;01;;Biała Woda;0990787;0990787;2021-01-01
02;22;02;2;03;;Białawy;0882454;0882448;2021-01-01
02;22;02;2;01;;Białawy Małe;0882448;0882448;2021-01-01
02;22;02;2;01;;Białawy Wielkie;0882477;0882477;2021-01-01
02;14;03;2;01;;Białe Błoto;0874101;0874101;2021-01-01
02;06;04;1;99;;Białka;1063907;0936368;2021-01-01
02;09;03;2;01;;Białka;0364630;0364630;2021-01-01
02;18;03;2;01;;Białków;0877163;0877163;2021-01-01
02;22;02;2;01;;Białków;0882490;0882490;2021-01-01
02;17;02;2;01;;Białobrzezie;0875684;0875684;2021-01-01
02;25;07;2;01;;Białogórze;0193200;0193200;2021-01-01
02;03;05;2;01;;Białołęka;0366209;0366209;2021-01-01
02;25;03;5;01;;Białopole;0188788;0188788;2021-01-01
02;65;01;1;99;;Biały Kamień;0983698;0983681;2021-01-01
02;17;04;5;01;;Biały Kościół;0880283;0880283;2021-01-01
02;03;01;1;99;;Biechów;0954099;0954082;2021-01-01
02;20;03;5;01;;Biedaszków Mały;0881294;0881294;2021-01-01
02;20;03;5;01;;Biedaszków Wielki;0881302;0881302;2021-01-01
02;20;06;5;03;;Biedaszkowo;0884430;0884418;2021-01-01
02;17;04;5;01;;Biedrzychów;0880290;0880290;2021-01-01
02;16;04;5;01;;Biedrzychowa;0366480;0366480;2021-01-01
02;10;05;5;01;;Biedrzychowice;0191626;0191626;2021-01-01
02;25;03;5;01;;Biedrzychowice Górne;1065059;1065059;2021-01-01
02;08;11;2;01;;Bieganów;0854015;0854015;2021-01-01
02;08;12;5;03;;Bieganówek;0992214;0855109;2021-01-01
02;26;04;5;01;;Biegoszów;0192672;0192672;2021-01-01
02;12;03;5;01;;Bielanka;0190740;0190740;2021-01-01
02;05;06;2;01;;Bielany;0368154;0368154;2021-01-01
02;18;04;4;99;;Bielany;1064278;0987348;2021-01-01
02;23;05;2;01;;Bielany Wrocławskie;0875313;0875313;2021-01-01
02;02;01;1;96;;Bielawa;0983818;0983818;2021-01-01
02;23;02;2;01;;Bielawa;0873656;0873656;2021-01-01
02;25;04;5;01;;Bielawa Dolna;0191862;0191862;2021-01-01
02;25;04;5;01;;Bielawa Górna;0191891;0191891;2021-01-01
02;14;07;5;03;;Bielawki;0209562;0209556;2021-01-01
02;08;13;5;01;;Bielice;0855546;0855546;2021-01-01
02;04;02;2;01;;Bieliszów;0370547;0370547;2021-01-01
02;09;03;2;01;;Bielowice;0364647;0364647;2021-01-01
02;01;04;5;02;;Bieniec;0191566;0191566;2021-01-01
02;09;04;2;01;;Bieniowice;0364831;0364831;2021-01-01
02;16;03;2;03;;Bieńków;0363955;0363949;2021-01-01
02;64;03;9;99;;Bieńkowice;0986550;0986544;2021-01-01
02;64;03;9;99;;Bierdzany;0986567;0986544;2021-01-01
02;08;07;2;01;;Bierkowice;0852750;0852750;2021-01-01
02;25;05;2;01;;Bierna;0192442;0192442;2021-01-01
02;24;06;5;01;;Biernacice;0856681;0856681;2021-01-01
02;05;06;2;01;;Biernatki;0368160;0368160;2021-01-01
02;14;02;4;96;;Bierutów;0987035;0987035;2021-01-01
02;23;02;2;01;;Bierzyce;0873662;0873662;2021-01-01
02;17;04;5;01;;Bierzyn;0880308;0880308;2021-01-01
02;62;01;1;99;;Bieśnik;1064150;0954047;2021-01-01
02;23;08;5;01;;Biestrzyków;0881029;0881029;2021-01-01
02;09;05;2;01;;Biskupice;0364995;0364995;2021-01-01
02;14;07;5;01;;Biskupice;0209378;0209378;2021-01-01
02;17;05;4;99;;Biskupice;1061908;0987437;2021-01-01
02;20;04;2;04;;Biskupice;0994420;0994420;2021-01-01
02;22;03;5;03;;Biskupice;0883494;0883488;2021-01-01
02;23;03;2;01;;Biskupice;0874710;0874710;2021-01-01
02;15;03;5;01;;Biskupice Oławskie;0874526;0874526;2021-01-01
02;23;05;2;01;;Biskupice Podgórne;0875336;0875336;2021-01-01
02;09;02;2;01;;Biskupin;0363317;0363317;2021-01-01
02;64;06;9;99;;Biskupin;0986975;0986952;2021-01-01
02;07;03;5;01;;Błażejów;0190443;0190443;2021-01-01
02;07;03;5;01;;Błażkowa;0190450;0190450;2021-01-01
02;23;05;2;03;;Bledzów;0875320;0875313;2021-01-01
02;23;04;5;03;;Bliż;0874874;0874868;2021-01-01
02;23;08;5;04;;Blizanowice;0881236;0881236;2021-01-01
02;14;06;2;04;;Blizbórz;0879015;0879009;2021-01-01
02;20;03;5;01;;Blizocin;0881331;0881331;2021-01-01
02;08;12;5;03;;Błogocice;0855084;0855061;2021-01-01
02;18;03;2;01;;Błonie;0877170;0877170;2021-01-01
02;17;02;2;01;;Błotnica;0875690;0875690;2021-01-01
02;24;07;5;01;;Błotnica;0856994;0856994;2021-01-01
02;14;07;5;03;;Błotnik;0209645;0209639;2021-01-01
02;24;05;5;01;;Bobolice;0856497;0856497;2021-01-01
02;08;10;5;01;;Boboszów;0853671;0853671;2021-01-01
02;06;07;2;01;;Bobrów;0191477;0191477;2021-01-01
02;09;06;2;01;;Bobrów;0365753;0365753;2021-01-01
02;08;14;4;99;;Bobrowniki;0984611;0984597;2021-01-01
02;05;03;2;04;;Bogaczów;0365641;0365641;2021-01-01
02;25;03;4;96;;Bogatynia;0935908;0935908;2021-01-01
02;18;01;2;01;;Bogdanów;0875951;0875951;2021-01-01
02;23;04;5;01;;Bogdaszowice;0874880;0874880;2021-01-01
02;04;03;2;01;;Bogucin;0373540;0373540;2021-01-01
02;23;09;2;01;;Bogunów;0884513;0884513;2021-01-01
02;14;06;2;01;;Bogusławice;0878866;0878866;2021-01-01
02;23;08;5;01;;Bogusławice;0881041;0881041;2021-01-01
02;21;01;1;99;;Boguszów;0983830;0983824;2021-01-01
02;21;01;1;96;;Boguszów-Gorce;0983824;0983824;2021-01-01
02;08;12;5;03;;Boguszowice;0855010;0855003;2021-01-01
02;14;06;2;01;;Boguszyce;0878872;0878872;2021-01-01
02;17;01;2;01;;Boguszyce;0872757;0872757;2021-01-01
